Time,Actor Type,Actor ID,Relative X,Relative Y
1714052802.3999512,Pedestrian,36,15.085311889648438,67.38525199890137
1714052802.3999512,Pedestrian,38,0.25345611572265625,-32.76736259460449
1714052803.4002714,Vehicle,25,-56.85795974731445,116.38492411375046
1714052803.4002714,Vehicle,26,-24.615550994873047,28.95545595884323
1714052803.4002714,Vehicle,27,12.664478302001953,-67.3513200879097
1714052803.4002714,Vehicle,28,9.385414123535156,66.04185312986374
1714052803.4002714,Vehicle,29,-54.2550163269043,-46.29518681764603
1714052803.4003105,Pedestrian,30,153.03366470336914,-26.3928182721138
1714052803.4003105,Pedestrian,32,-60.10224533081055,-13.49405175447464
1714052803.4003105,Pedestrian,34,149.09600448608398,51.810167491436005
1714052803.4003105,Pedestrian,36,16.054622650146484,70.65485972166061
1714052803.4003105,Pedestrian,38,1.2227668762207031,-29.497754871845245
1714052804.4015248,Vehicle,25,-52.53892135620117,122.48870897293091
1714052804.4015248,Vehicle,26,-19.720943450927734,31.221561908721924
1714052804.4015248,Vehicle,27,12.116661071777344,-65.11992597579956
1714052804.4015248,Vehicle,28,11.460029602050781,68.3075795173645
1714052804.4015248,Vehicle,29,-49.66440963745117,-47.67714262008667
1714052804.4015603,Pedestrian,30,155.10828018188477,-24.127091884613037
1714052804.4015603,Pedestrian,32,-58.02762985229492,-11.228325366973877
1714052804.4015603,Pedestrian,34,151.1706199645996,54.07589387893677
1714052804.4015603,Pedestrian,36,18.12923812866211,72.92058610916138
1714052804.4015603,Pedestrian,38,3.297382354736328,-27.232028484344482
1714052805.402746,Vehicle,25,-41.94868087768555,127.85522031784058
1714052805.402746,Vehicle,26,-12.287071228027344,33.88323163986206
1714052805.402746,Vehicle,27,11.07436752319336,-62.84872102737427
1714052805.402746,Vehicle,28,14.805213928222656,70.56732511520386
1714052805.402746,Vehicle,29,-42.85892105102539,-52.43518114089966
1714052805.4027948,Pedestrian,30,158.60090255737305,-21.79176950454712
1714052805.4027948,Pedestrian,32,-54.53500747680664,-8.893002986907959
1714052805.4027948,Pedestrian,34,154.6632423400879,56.411216259002686
1714052805.4027948,Pedestrian,36,21.62186050415039,75.2559084892273
1714052805.4027948,Pedestrian,38,6.790004730224609,-24.896706104278564
1714052806.403932,Vehicle,25,-33.81951904296875,130.36794757843018
1714052806.403932,Vehicle,26,-5.342685699462891,37.11691951751709
1714052806.403932,Vehicle,27,8.149673461914062,-60.873995780944824
1714052806.403932,Vehicle,28,16.52295684814453,71.93600940704346
1714052806.403932,Vehicle,29,-36.658592224121094,-55.22431468963623
1714052806.403967,Pedestrian,30,161.3364486694336,-19.821690559387207
1714052806.403967,Pedestrian,32,-51.799461364746094,-6.922924041748047
1714052806.403967,Pedestrian,34,157.39878845214844,58.3812952041626
1714052806.403967,Pedestrian,36,24.357406616210938,77.2259874343872
1714052806.403967,Pedestrian,38,9.525550842285156,-22.926627159118652
1714052807.4048967,Vehicle,25,-29.898422241210938,132.7144365310669
1714052807.4048967,Vehicle,26,0.5036773681640625,41.67844104766846
1714052807.4048967,Vehicle,27,2.2381210327148438,-59.96953868865967
1714052807.4048967,Vehicle,28,15.296630859375,71.57252216339111
1714052807.4048967,Vehicle,29,-32.33734893798828,-55.47609996795654
1714052807.4049377,Pedestrian,30,162.2906494140625,-18.67199420928955
1714052807.4049377,Pedestrian,32,-50.84526062011719,-5.773227691650391
1714052807.4049377,Pedestrian,34,158.35298919677734,59.530991554260254
1714052807.4049377,Pedestrian,36,25.311607360839844,78.37568378448486
1714052807.4049377,Pedestrian,38,10.479751586914062,-21.776930809020996
1714052808.4061997,Vehicle,25,-27.575698852539062,136.69798278808594
1714052808.4061997,Vehicle,26,1.5672683715820312,47.15224075317383
1714052808.4061997,Vehicle,27,-0.527252197265625,-59.47938537597656
1714052808.4061997,Vehicle,28,12.996711730957031,69.67887496948242
1714052808.4061997,Vehicle,29,-28.051551818847656,-53.43898391723633
1714052808.4062781,Pedestrian,30,162.47095489501953,-18.18297004699707
1714052808.4062781,Pedestrian,32,-50.664955139160156,-5.28420352935791
1714052808.4062781,Pedestrian,34,158.53329467773438,60.020015716552734
1714052808.4062781,Pedestrian,36,25.491912841796875,78.86470794677734
1714052808.4062781,Pedestrian,38,10.660057067871094,-21.287906646728516
1714052809.4074054,Vehicle,25,-30.461326599121094,143.84748935699463
1714052809.4074054,Vehicle,26,-1.9500923156738281,51.40092182159424
1714052809.4074054,Vehicle,27,-3.162853240966797,-58.16420650482178
1714052809.4074054,Vehicle,28,11.354930877685547,66.01890277862549
1714052809.4074054,Vehicle,29,-25.828521728515625,-47.493781089782715
1714052809.4074402,Pedestrian,30,162.5429916381836,-16.89235782623291
1714052809.4074402,Pedestrian,32,-50.592918395996094,-3.99359130859375
1714052809.4074402,Pedestrian,34,158.60533142089844,61.310627937316895
1714052809.4074402,Pedestrian,36,25.563949584960938,80.1553201675415
1714052809.4074402,Pedestrian,38,10.732093811035156,-19.997294425964355
1714052810.4079318,Vehicle,25,-33.54132843017578,146.4663200378418
1714052810.4079318,Vehicle,26,-2.5699996948242188,53.066410064697266
1714052810.4079318,Vehicle,27,-7.080574035644531,-56.71274185180664
1714052810.4079318,Vehicle,28,11.21475601196289,63.186038970947266
1714052810.4079318,Vehicle,29,-26.234718322753906,-43.70167922973633
1714052810.4079654,Pedestrian,30,162.0325927734375,-15.303586959838867
1714052810.4079654,Pedestrian,32,-51.10331726074219,-2.404820442199707
1714052810.4079654,Pedestrian,34,158.09493255615234,62.89939880371094
1714052810.4079654,Pedestrian,36,25.053550720214844,81.74409103393555
1714052810.4079654,Pedestrian,38,10.221694946289062,-18.408523559570312
1714052811.4081986,Vehicle,25,-38.56709289550781,149.6431474685669
1714052811.4081986,Vehicle,26,-4.227115631103516,55.16578388214111
1714052811.4081986,Vehicle,27,-14.613029479980469,-54.29210186004639
1714052811.4081986,Vehicle,28,9.638656616210938,62.88664722442627
1714052811.4081986,Vehicle,29,-27.54888916015625,-37.57334804534912
1714052811.4082556,Pedestrian,30,160.3736801147461,-13.229435920715332
1714052811.4082556,Pedestrian,32,-52.762229919433594,-0.3306694030761719
1714052811.4082556,Pedestrian,34,156.43601989746094,64.97354984283447
1714052811.4082556,Pedestrian,36,23.394638061523438,83.81824207305908
1714052811.4082556,Pedestrian,38,8.562782287597656,-16.334372520446777
1714052812.4094348,Vehicle,25,-45.4683837890625,154.737943649292
1714052812.4094348,Vehicle,26,-7.0867767333984375,57.25441551208496
1714052812.4094348,Vehicle,27,-23.66693115234375,-52.62417030334473
1714052812.4094348,Vehicle,28,6.767696380615234,64.85993003845215
1714052812.4094348,Vehicle,29,-28.79662322998047,-30.81159019470215
1714052812.4095104,Pedestrian,30,157.5143051147461,-11.171611785888672
1714052812.4095104,Pedestrian,32,-55.621604919433594,1.7271547317504883
1714052812.4095104,Pedestrian,34,153.57664489746094,67.03137397766113
1714052812.4095104,Pedestrian,36,20.535263061523438,85.87606620788574
1714052812.4095104,Pedestrian,38,5.703407287597656,-14.276548385620117
1714052813.4107795,Vehicle,25,-52.036495208740234,160.39946174621582
1714052813.4107795,Vehicle,26,-12.647502899169922,60.29268455505371
1714052813.4107795,Vehicle,27,-33.54816818237305,-51.07590293884277
1714052813.4107795,Vehicle,28,1.2074928283691406,67.86152458190918
1714052813.4107795,Vehicle,29,-33.50826644897461,-26.766950607299805
1714052813.4108799,Pedestrian,30,151.9541358947754,-8.169868469238281
1714052813.4108799,Pedestrian,32,-61.1817741394043,4.728898048400879
1714052813.4108799,Pedestrian,34,148.01647567749023,70.03311729431152
1714052813.4108799,Pedestrian,36,14.975093841552734,88.87780952453613
1714052813.4108799,Pedestrian,38,0.14323806762695312,-11.274805068969727
1714052814.4119356,Vehicle,25,-55.8189582824707,164.86442184448242
1714052814.4119356,Vehicle,26,-16.749099731445312,63.61091613769531
1714052814.4119356,Vehicle,27,-39.7158317565918,-48.00007247924805
1714052814.4119356,Vehicle,28,-2.892864227294922,71.1457748413086
1714052814.4119356,Vehicle,29,-37.541202545166016,-23.455482482910156
1714052814.4119728,Pedestrian,30,147.85377883911133,-4.885618209838867
1714052814.4119728,Pedestrian,32,-65.28213119506836,8.013148307800293
1714052814.4119728,Pedestrian,34,143.91611862182617,73.31736755371094
1714052814.4119728,Pedestrian,36,10.874736785888672,92.16205978393555
1714052814.4119728,Pedestrian,38,-3.9571189880371094,-7.9905548095703125
1714052815.412781,Vehicle,25,-54.23074722290039,168.70561981201172
1714052815.412781,Vehicle,26,-17.668506622314453,65.23487091064453
1714052815.412781,Vehicle,27,-42.9987678527832,-45.32508087158203
1714052815.412781,Vehicle,28,-3.812328338623047,72.74588394165039
1714052815.412781,Vehicle,29,-38.36356735229492,-21.816059112548828
1714052815.4128225,Pedestrian,30,146.9343147277832,-3.2855091094970703
1714052815.4128225,Pedestrian,32,-66.20159530639648,9.61325740814209
1714052815.4128225,Pedestrian,34,142.99665451049805,74.91747665405273
1714052815.4128225,Pedestrian,36,9.955272674560547,93.76216888427734
1714052815.4128225,Pedestrian,38,-4.876583099365234,-6.390445709228516
